timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageCN
2022-09-30T23:17:21.323Z,236
2022-09-30T23:22:21.568Z,235
2022-09-30T23:27:21.293Z,235
2022-09-30T23:32:51.440Z,236
2022-09-30T23:37:21.406Z,236
2022-09-30T23:42:21.350Z,237
2022-09-30T23:47:21.305Z,236
2022-09-30T23:52:21.445Z,236
2022-09-30T23:57:21.380Z,236
2022-10-01T00:02:21.382Z,236
2022-10-01T00:07:21.359Z,236
2022-10-01T00:12:21.378Z,236
2022-10-01T00:17:21.450Z,236
2022-10-01T00:22:21.570Z,236
2022-10-01T00:27:21.388Z,236
2022-10-01T00:32:21.633Z,236
2022-10-01T00:37:21.376Z,236
2022-10-01T00:42:21.379Z,236
2022-10-01T00:47:21.420Z,236
2022-10-01T00:52:21.265Z,236
2022-10-01T00:57:21.376Z,236
2022-10-01T01:02:21.360Z,236
2022-10-01T01:07:21.542Z,236
2022-10-01T01:12:21.354Z,236
2022-10-01T01:17:21.518Z,237
2022-10-01T01:22:21.405Z,237
2022-10-01T01:27:21.432Z,237
2022-10-01T01:32:21.311Z,236
2022-10-01T01:37:21.269Z,236
2022-10-01T01:42:21.404Z,236
2022-10-01T01:47:21.631Z,236
2022-10-01T01:52:21.365Z,236
2022-10-01T01:57:21.387Z,237
2022-10-01T02:02:21.374Z,237
2022-10-01T02:07:21.375Z,236
2022-10-01T02:12:21.532Z,237
2022-10-01T02:17:21.605Z,236
2022-10-01T02:22:21.349Z,236
2022-10-01T02:27:21.422Z,236
2022-10-01T02:32:51.368Z,236
2022-10-01T02:37:21.418Z,236
2022-10-01T02:42:21.468Z,236
2022-10-01T02:47:21.279Z,237
2022-10-01T02:52:21.432Z,236
2022-10-01T02:57:21.178Z,236
2022-10-01T03:02:21.343Z,237
2022-10-01T03:07:21.443Z,237
2022-10-01T03:12:21.243Z,237
2022-10-01T03:17:21.598Z,236
2022-10-01T03:21:25.330Z,236
2022-10-01T03:22:21.610Z,237
2022-10-01T03:27:21.406Z,237
2022-10-01T03:32:21.403Z,236
2022-10-01T03:37:21.354Z,237
2022-10-01T03:42:21.480Z,237
2022-10-01T03:47:21.532Z,236
2022-10-01T03:52:21.302Z,237
2022-10-01T03:57:21.429Z,237
2022-10-01T04:02:21.441Z,237
2022-10-01T04:07:21.459Z,237
2022-10-01T04:12:21.442Z,237
2022-10-01T04:17:21.296Z,236
2022-10-01T04:22:22.162Z,237
2022-10-01T04:27:21.394Z,236
2022-10-01T04:32:21.278Z,237
2022-10-01T04:37:21.327Z,237
2022-10-01T04:42:21.497Z,237
2022-10-01T04:47:21.369Z,237
2022-10-01T04:52:50.508Z,236
2022-10-01T04:57:51.528Z,236
2022-10-01T05:02:21.466Z,236
2022-10-01T05:07:21.434Z,236
2022-10-01T05:12:21.301Z,237
2022-10-01T05:17:21.426Z,237
2022-10-01T05:22:21.457Z,237
2022-10-01T05:27:21.348Z,236
2022-10-01T05:32:21.367Z,236
2022-10-01T05:37:21.361Z,236
2022-10-01T05:42:21.470Z,236
2022-10-01T05:47:21.438Z,236
2022-10-01T05:52:21.314Z,236
2022-10-01T05:57:21.452Z,236
2022-10-01T06:02:21.673Z,236
2022-10-01T06:07:21.457Z,236
2022-10-01T06:12:51.465Z,236
2022-10-01T06:17:21.425Z,236
2022-10-01T06:22:21.453Z,236
2022-10-01T06:27:21.367Z,236
2022-10-01T06:32:21.427Z,236
2022-10-01T06:37:21.367Z,236
2022-10-01T06:42:21.591Z,236
2022-10-01T06:47:21.392Z,236
2022-10-01T06:52:21.371Z,236
2022-10-01T06:57:21.474Z,236
2022-10-01T07:02:51.280Z,236
2022-10-01T07:07:21.472Z,236
2022-10-01T07:12:21.423Z,236
2022-10-01T07:17:21.509Z,236
2022-10-01T07:22:21.301Z,236
2022-10-01T07:27:21.430Z,236
2022-10-01T07:32:51.355Z,236
2022-10-01T07:37:21.453Z,237
2022-10-01T07:42:21.344Z,236
2022-10-01T07:47:21.396Z,236
2022-10-01T07:52:21.510Z,236
2022-10-01T07:57:21.294Z,236
2022-10-01T08:02:21.342Z,236
2022-10-01T08:07:21.384Z,236
2022-10-01T08:12:21.334Z,236
2022-10-01T08:17:21.399Z,235
2022-10-01T08:22:21.470Z,235
2022-10-01T08:27:21.613Z,235
2022-10-01T08:32:21.388Z,236
2022-10-01T08:37:21.489Z,236
2022-10-01T08:42:51.502Z,236
2022-10-01T08:47:21.377Z,236
2022-10-01T08:52:21.421Z,236
2022-10-01T08:57:21.573Z,236
2022-10-01T09:02:21.358Z,236
2022-10-01T09:07:50.638Z,236
2022-10-01T09:12:21.020Z,236
2022-10-01T09:17:21.308Z,236
2022-10-01T09:22:21.402Z,236
2022-10-01T09:27:21.409Z,236
2022-10-01T09:32:21.344Z,236
2022-10-01T09:37:21.465Z,236
2022-10-01T09:42:21.344Z,236
2022-10-01T09:47:21.453Z,236
2022-10-01T09:52:21.396Z,236
2022-10-01T09:57:21.376Z,236
2022-10-01T10:02:21.474Z,236
2022-10-01T10:07:21.510Z,237
2022-10-01T10:12:21.585Z,236
2022-10-01T10:17:21.389Z,237
2022-10-01T10:22:21.383Z,236
2022-10-01T10:27:51.408Z,236
2022-10-01T10:32:21.339Z,236
2022-10-01T10:37:21.405Z,236
2022-10-01T10:42:21.421Z,236
2022-10-01T10:47:21.626Z,236
2022-10-01T10:52:50.561Z,236
2022-10-01T10:57:21.371Z,236
2022-10-01T11:02:21.279Z,236
2022-10-01T11:07:21.370Z,236
2022-10-01T11:12:21.366Z,236
2022-10-01T11:17:21.424Z,236
2022-10-01T11:22:50.531Z,237
2022-10-01T11:27:21.428Z,236
2022-10-01T11:32:21.269Z,236
2022-10-01T11:37:21.403Z,237
2022-10-01T11:42:21.448Z,236
2022-10-01T11:47:22.061Z,237
2022-10-01T11:52:21.441Z,236
