timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageAN
2022-12-07T00:38:15.468Z,234
2022-12-07T00:43:15.478Z,233
2022-12-07T00:48:15.862Z,233
2022-12-07T00:53:15.215Z,232
2022-12-07T00:58:15.369Z,234
2022-12-07T01:03:15.291Z,235
2022-12-07T01:08:15.332Z,235
2022-12-07T01:13:15.174Z,235
2022-12-07T01:18:15.368Z,238
2022-12-07T01:23:15.364Z,236
2022-12-07T01:28:15.312Z,235
2022-12-07T01:33:15.175Z,236
2022-12-07T01:38:15.318Z,236
2022-12-07T01:43:15.172Z,236
2022-12-07T01:48:15.194Z,236
2022-12-07T01:53:15.414Z,236
2022-12-07T01:58:15.180Z,236
2022-12-07T02:03:15.505Z,235
2022-12-07T02:08:15.475Z,236
2022-12-07T02:13:15.309Z,235
2022-12-07T02:18:15.160Z,236
2022-12-07T02:23:15.089Z,236
2022-12-07T02:28:15.201Z,233
2022-12-07T02:33:15.435Z,234
2022-12-07T02:38:14.973Z,234
2022-12-07T02:43:15.381Z,235
2022-12-07T02:48:15.230Z,235
2022-12-07T02:53:15.166Z,235
2022-12-07T02:58:15.210Z,234
2022-12-07T03:03:15.373Z,236
2022-12-07T03:08:15.264Z,235
2022-12-07T03:13:15.327Z,235
2022-12-07T03:18:15.249Z,236
2022-12-07T03:23:15.498Z,236
2022-12-07T03:28:15.311Z,236
2022-12-07T03:33:15.156Z,235
2022-12-07T03:38:15.412Z,235
2022-12-07T03:43:15.248Z,235
2022-12-07T03:48:15.361Z,235
2022-12-07T03:53:15.265Z,235
2022-12-07T03:58:15.379Z,235
2022-12-07T04:03:15.196Z,234
2022-12-07T04:08:15.245Z,235
2022-12-07T04:13:15.219Z,235
2022-12-07T04:18:15.466Z,235
2022-12-07T04:23:15.174Z,234
2022-12-07T04:28:15.231Z,235
2022-12-07T04:33:15.249Z,236
2022-12-07T04:38:15.465Z,235
2022-12-07T04:43:15.237Z,236
2022-12-07T04:48:15.263Z,236
2022-12-07T04:53:15.323Z,236
2022-12-07T04:58:14.988Z,236
2022-12-07T05:03:15.262Z,236
2022-12-07T05:08:15.250Z,236
2022-12-07T05:13:15.188Z,237
2022-12-07T05:18:15.447Z,236
2022-12-07T05:23:15.138Z,236
2022-12-07T05:28:15.158Z,236
2022-12-07T05:33:15.218Z,236
2022-12-07T05:38:15.519Z,236
2022-12-07T05:43:15.379Z,236
2022-12-07T05:48:15.233Z,237
2022-12-07T05:53:15.348Z,235
2022-12-07T05:58:16.158Z,235
2022-12-07T06:03:15.056Z,235
2022-12-07T06:08:15.332Z,235
2022-12-07T06:13:15.228Z,235
2022-12-07T06:18:15.211Z,235
2022-12-07T06:23:15.146Z,235
2022-12-07T06:28:15.254Z,235
2022-12-07T06:33:15.417Z,235
2022-12-07T06:38:15.441Z,235
2022-12-07T06:43:15.333Z,236
2022-12-07T06:48:15.222Z,236
2022-12-07T06:53:15.290Z,235
2022-12-07T06:58:15.200Z,235
2022-12-07T07:03:15.270Z,236
2022-12-07T07:08:15.335Z,236
2022-12-07T07:13:15.446Z,236
